film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
I volti dell'amore,1924,Italy,nm0303120,April,1924,Italy,Films Gallone,"nm0076131, nm0162490, nm0274034, nm0303122, nm0406390, nm1293512, nm0553335, nm1301556, nm0682595, nm1302127",tt0216389
La donna abbandonata,1917,Italy,nm0624511,October,1917,Italy,Tiber-film,"nm0138479, nm0381428",tt1063608
Vittima felice,1912,Italy,,November,1912,Italy,Società Italiana Cines,"nm0381428, nm0784988, nm0137706",tt1027193
Arrivederci Firenze,1958,Italy,nm0298928,,,,,"nm0143686, nm0290013, nm0049836, nm0538729, nm1376733, nm0825923, nm0215699, nm5474284, nm0683627, nm0330924, nm5510833, nm5474256, nm5474266, nm5474336, nm1374878, nm1499946, nm1890520, nm0661483, nm5474278, nm5474324, nm5474283, nm5474301, nm5474279, nm5474273, nm5474316, nm5474274, nm5474318, nm5474277, nm5474268, nm5474298, nm5474329, nm0885294, nm5474338",tt0051672
Il gioiello della regina,1913,Italy,,,1913,Italy,Itala Film,"nm0021935, nm0890415, nm0076131, nm0142822, nm0202688, nm0544490, nm0702893, nm0899932",tt0949406
La bellezza del mondo,1927,Italy,nm0021933,March,1927,Italy,Alba Film,"nm0021935, nm0161758, nm0021932, nm0227573, nm0073065, nm0055364, nm0001120",tt0157374
Maman poupée,1919,Italy,nm0303120,May,1920,UK,Olimpus Film,"nm0303122, nm0658551, nm0195903, nm0193763",tt0183483
Romeo e Giulietta,1912,Italy,nm0266080,January,1912,Italy,"Film d'Arte Italiana, Pathé Frères","nm0784988, nm0078116, nm0304862, nm1011921",tt0123088
La donna e l'uomo,1923,Italy,nm0657535,June,1923,Italy,Rinascimento Film,"nm0579618, nm0743099, nm0667546, nm1146178, nm0078261",tt0330235
Il rifugio,1918,Italy,nm0030748,September,1918,Italy,Lombardo Film,"nm0063129, nm0350524, nm2677372, nm1272920",tt1045195
La cittadella,1964,Italy,,,1964,,RAI Radiotelevisione Italiana,"nm0526958, nm0031355, nm0812741, nm0345423, nm0542077, nm1111851, nm0311168, nm0250613, nm0385951, nm0818298, nm0786319, nm0217377, nm0667611, nm5393838, nm0070858, nm0545858, nm0669587, nm0813059, nm0016287, nm0744103, nm0901763, nm0867333, nm5125215, nm0798570, nm0315984, nm0274986, nm0230899, nm0869224, nm0875713, nm1569239, nm0324645, nm0316340, nm0660007, nm0187927, nm0053531, nm0207961, nm0681312, nm0109266, nm1068638, nm0431006, nm0408490, nm0147940, nm0627546, nm5394542, nm0116460, nm0656483, nm0694550, nm0538969, nm3292581, nm0181298, nm0208662, nm0813006, nm5394112, nm2145916, nm0557806, nm0129316, nm1110836, nm0022066, nm0143303, nm0541963, nm1279130, nm0585071, nm0124376, nm0553335, nm0644124, nm5393549, nm0700689, nm0274102, nm0314314, nm0707886, nm0161877, nm0923421, nm0254995, nm0518352, nm0667613, nm0814433, nm0304864, nm0563670, nm0754669, nm0484759, nm0733689, nm0854661, nm0080503, nm0853730, nm5329966, nm1941970, nm0518419, nm4141888, nm0881099, nm0889115, nm5394231, nm0307337, nm1065943, nm0411299, nm0726019, nm0173174, nm0287347, nm1163267, nm0108386, nm0524573, nm0080763, nm0037876, nm0880894, nm1096368, nm0800626, nm0029594, nm0309798, nm0807564, nm0493964, nm1045984, nm1015278, nm4311114, nm0815092",tt0419316
La fiamma e la cenere,1919,Italy,nm0030748,November,1919,Italy,Tiber-film,"nm0144302, nm0439188, nm0448656, nm0663286",tt1065427
Crevalcore,1917,Italy,nm1513152,October,1917,Italy,Armenia Film,"nm0021935, nm1513092, nm0211159, nm0244600, nm1294774, nm1517157",tt0345084
Melodie eterne,1940,Italy,nm0303120,December,1940,Italy,Ente Nazionale Industrie Cinematografiche (ENIC),"nm0148974, nm0599354, nm0066745, nm0414294, nm0616027, nm0667611, nm0832375, nm0311165, nm0329746, nm0313123, nm0046774, nm0894503, nm0613904, nm0231878, nm0545067, nm0749306, nm0830627, nm0182292, nm0244596, nm0688770, nm0553335, nm0890122, nm0646742, nm0053569, nm0133062, nm0171729, nm1410828, nm0413064, nm0538969",tt0032778
La sfinge,1920,Italy,nm0730743,October,1920,Italy,"Bertini Film, Caesar Film","nm0016688, nm0078116, nm1287181, nm0526266, nm0663286, nm0688230",tt0203124
Femmina - Femina,1918,Italy,nm0312866,December,1918,Italy,Itala Film,"nm0021935, nm0448656, nm0144302, nm0082101",tt0172441
Il faro n. 13,1920,Italy,nm0320488,March,1920,Italy,Circe Film,"nm1522679, nm0142821, nm0142823, nm0762718",tt0929422
Sterbende Völker - 2. Brennendes Meer,1922,Germany,nm1720536,December,1922,Germany,Monumental-Film-Werke Berlin,"nm1758727, nm1759962, nm1763326, nm0250790, nm0311413, nm1760152, nm1763526, nm0466776, nm1760241, nm0478151, nm0499000, nm0538729, nm1760332, nm0626520, nm0664257, nm0723801, nm0723802, nm0784988, nm0785802, nm1576164, nm0880619, nm0917467, nm0923377, nm1488840",tt0442617
"Torna, caro ideal!",1939,Italy,nm0109264,December,1939,Italy,Società Anonima Films Attualità (SAFA),"nm0329746, nm0011563, nm0660035, nm0754636, nm0109266, nm0538080, nm0518352, nm1092230, nm1403175, nm2052057, nm0195830, nm0215345, nm0321501, nm0688770, nm0073264, nm0259820, nm1504785, nm0648851, nm0699736, nm0749435, nm1717251",tt0032046
"Sant'Elena, piccola isola",1943,Italy,"nm0769256, nm0800625",June,1943,Italy,Scalera Film,"nm0749431, nm0109266, nm0133734, nm0110299, nm0195003, nm0162322, nm0208563, nm0321405, nm0681441, nm0161758, nm0079246, nm0709951, nm0814773, nm0832375, nm0223997, nm0136823, nm0064899, nm0266945, nm0685612, nm1406618, nm1195476, nm1364282, nm0690059, nm0743102, nm0865492, nm1596812",tt0036331
La tormenta,1922,Italy,nm0303120,August,1922,Italy,Caesar Film,"nm0234437, nm0303122, nm0345223, nm0537818, nm1899192, nm0682595, nm0850499, nm0887830",tt0457171
L'arma del vile,1914,Italy,nm0730611,March,1914,Italy,Milano Film,"nm0381428, nm0667546, nm2709059",tt1063593
La primadonna,1943,Italy,nm0673773,November,1943,Italy,Artisti Tecnici Associati (ATA),"nm0880210, nm0580140, nm0098154, nm0078055, nm0334516, nm0868916, nm0131042, nm1866186, nm0109266, nm0130019, nm0195258, nm0223997, nm0230986, nm1571990, nm0493982, nm1845494, nm0518352, nm0867333, nm0897002",tt0035212
La scala,1931,Italy,nm0726729,,,,Società Italiana Cines,"nm0414294, nm0632426, nm0080615, nm0177815, nm0147940, nm0702893, nm0135635, nm1437038, nm0109266, nm0195208",tt0022342
L'ospite di mezzanotte,1914,Italy,,March,1914,Italy,Società Italiana Cines,"nm1553082, nm0224058, nm0557831, nm0746296, nm0579618",tt1175068
La donna di una notte,1931,France,nm0478303,December,1931,Italy,Les Établissements Braunberger-Richebé,"nm0078116, nm0749431, nm0131042, nm0080615, nm1291156, nm0082101, nm0887830, nm0274034, nm0208314",tt0207424
A guardia di Sua Maestà,1916,Italy,nm0624511,January,1916,Italy,Milano Film,"nm0212191, nm0381428, nm0526921",tt1063588
Quo Vadis,1951,USA,"nm0503777, nm0542649",May,1953,New Zealand,Metro-Goldwyn-Mayer (MGM),"nm0001791, nm0000039, nm0312890, nm0001811, nm0480784, nm0192958, nm0812125, nm0078055, nm0046331, nm0043875, nm0842677, nm0874298, nm0941076, nm0587213, nm0242572, nm0360389, nm0165061, nm0190194, nm0748660, nm0907423, nm0545294, nm0114733, nm0889658, nm0653085, nm0875630, nm0867895, nm1014337, nm0024362, nm0034234, nm0047625, nm1714657, nm0063634, nm3925942, nm0083157, nm3925943, nm0096317, nm0103320, nm0112983, nm3925140, nm0115619, nm3924613, nm1486194, nm0173240, nm0180920, nm0181295, nm0185825, nm3938327, nm0209037, nm3928832, nm0215345, nm0215824, nm0209637, nm3925736, nm3939162, nm3927079, nm0266886, nm0268803, nm0272360, nm0276417, nm0286423, nm1919296, nm3938909, nm0303412, nm0308257, nm3939608, nm0313455, nm2498544, nm2151933, nm0341697, nm3926026, nm0400902, nm0421082, nm0452404, nm1748544, nm0470906, nm0488249, nm0000047, nm0522256, nm0538729, nm1081811, nm0548270, nm0558089, nm0992275, nm0575616, nm0584266, nm0596828, nm0616913, nm0626142, nm3938371, nm3938345, nm0655816, nm3940341, nm0668391, nm0682074, nm0684266, nm0687092, nm3939648, nm0706221, nm1015495, nm3939726, nm0729866, nm3924534, nm0763402, nm0502146, nm3938846, nm1873205, nm3939673, nm3938796, nm3938465, nm3940265, nm0817881, nm1843936, nm0848937, nm0000072, nm0853333, nm0867796, nm0869193, nm0872640, nm0884094, nm0889281, nm0890122, nm0892008, nm0892140, nm6043645, nm3925036, nm0953088",tt0043949
Tragico amore,1912,Italy,nm0624511,December,1912,Italy,Celio Film,"nm0078116, nm0172822, nm0208352, nm0302942, nm0315780",tt1065517
La moglie dell'autore,1914,Italy,nm0303120,June,1914,Italy,Società Italiana Cines,"nm0303122, nm1295384",tt1047651
Primerose,1919,Italy,nm0143333,January,1919,Italy,Società Italiana Cines,"nm1298541, nm0161750, nm2483676, nm0664703, nm1294238, nm0682204, nm0684960, nm0762718, nm0857271",tt0481896
Liebeshölle,1928,Germany,"nm0081331, nm0303120",August,1928,Germany,Erda-Film GmbH (I),"nm0874781, nm0290951, nm0836765, nm0061682, nm0082101, nm5711660, nm0274034, nm1257483, nm5711619, nm0561587, nm0867966, nm0439188, nm1258590",tt0018088
Rapsodia satanica,1917,Italy,nm0654581,July,1917,Italy,Società Italiana Cines,"nm0096330, nm0352120, nm0063379, nm0162448, nm0063375, nm0626131",tt0005951
Fabiola,1949,"Italy, France",nm0087704,March,1949,Italy,"Franco London Films, Universalia Film","nm0006807, nm0896331, nm0800302, nm0758986, nm0147854, nm0320988, nm0148974, nm0865493, nm0603761, nm0832375, nm0632426, nm0409421, nm0055364, nm0798570, nm0413064, nm0755351, nm0764571, nm0726295, nm0240024, nm0076464, nm0823042, nm0033982, nm0872820, nm0385872, nm0224127, nm0079246, nm0135388, nm0073833, nm0199775, nm0334800, nm0313123, nm0496408, nm0812163, nm0274120, nm0181295, nm0147940, nm0816737, nm0647206, nm0413063, nm0330752, nm0538729, nm0275213, nm0494007, nm0670971, nm0757129, nm0030433, nm0810676, nm0491471, nm0869186, nm0419487, nm0542143, nm0612219, nm0799167, nm0172094, nm0759031, nm0207055, nm0865580, nm0746285, nm9064576",tt0041342
La belle Madame Hebért,1922,Italy,nm0624511,February,1922,Italy,Tiber-film,"nm0138479, nm0381428, nm2500842, nm0769330, nm1893945, nm1267258, nm1437917, nm1277772, nm1146560",tt1000067
Como aquel día,1916,"Spain, Italy",nm0143333,May,1916,Italy,Excelsa Films,"nm0143332, nm0143333, nm0225184, nm0264693, nm0350524, nm0664196, nm0743102",tt0006542
Politiquerías,1931,USA,nm0395023,May,1931,Costa Rica,Hal Roach Studios,"nm0491048, nm0001316, nm0010185, nm0019420, nm0130969, nm2652934, nm0209740, nm0273685, nm0278006, nm0334605, nm0355408, nm0520558, nm0888871",tt0022274
Bellissime,2004,Italy,nm0300898,August,2004,Italy,Istituto Luce,"nm0066745, nm0078116, nm0146796, nm0243913, nm0244598, nm0536167, nm0885339, nm0900143",tt1478504
Ruy-Blas,1912,Italy,,,1912,Italy,Film d'Arte Italiana,"nm0078116, nm0784988",tt1065496
Diva Dolorosa,1999,Netherlands,nm0217782,October,1999,Netherlands,"Cineteca del Comune di Bologna, Filmmuseum Distributie, Vrijzinnig Protestantse Radio Omroep (VPRO)","nm0078116, nm0096330, nm0303122, nm0538729, nm0579618",tt0229343
La marcia nuziale,1936,"Italy, France",nm0094801,February,1936,USA,"Mander Film, Paris-Rome Films","nm0658332, nm0138479, nm0064891, nm0487137, nm0635371, nm0095155, nm0895766, nm0109266, nm0681441, nm0957867, nm2054566, nm0082101, nm0110299, nm0484759, nm0195830, nm0676131, nm1847068",tt0025470
Amore senza veli,1914,Italy,nm0303120,June,1914,Italy,Società Italiana Cines,"nm0137706, nm0303122, nm1295384",tt1047578
Leda senza cigno,1918,Italy,nm0030748,February,1918,Italy,Polifilm,"nm1513704, nm2457065, nm0350524, nm0526921, nm1272920, nm0743102",tt1045152
Napoli è una canzone,1927,Italy,nm0673035,March,1927,Italy,Lombardo Film,"nm0350524, nm0274034, nm1707962, nm0718580, nm0780978, nm1100228, nm1709102",tt0396144
The Barefoot Contessa,1954,"USA, Italy",nm0000581,September,1954,USA,"Transoceanic Film, Figaro","nm0000007, nm0001257, nm0639529, nm0330961, nm0181305, nm0106387, nm0783288, nm0828838, nm0409421, nm0017628, nm0176328, nm0821543, nm0953088, nm0156989, nm0292077, nm0663550, nm0313899, nm0213831, nm0727826, nm0783615, nm0027124, nm0283456, nm0395032, nm0522281, nm0160615, nm0655816, nm0197652, nm0538729, nm0760676",tt0046754
Io te uccido!,1919,Italy,nm0030748,January,1919,Italy,Lombardo Film,"nm0350524, nm0526921, nm0195221, nm0744105",tt0456478
Suonatori ambulanti,1912,Italy,nm0030748,March,1912,UK,Società Italiana Cines,"nm0078116, nm0557831",tt0209388
La seconda moglie,1922,Italy,nm0657535,May,1922,Italy,Rinascimento Film,"nm0078261, nm1250994, nm0526266, nm0553335, nm0579615, nm0579618, nm0667546",tt0203095
Ariadne in Hoppegarten,1928,Germany,nm0227602,,1928,Germany,Maxim-Film GmbH,"nm0002154, nm0414294, nm0376264, nm0103113, nm0728818, nm1772495, nm0068120, nm0842670",tt0128935
Il piccolo mozzo,1916,Italy,nm0303120,January,1916,Italy,Società Italiana Cines,"nm1216023, nm0206315, nm0414293, nm1679227",tt1041821
La storia di una donna,1920,Italy,nm0673035,January,1920,Italy,Rinascimento Film,"nm0579618, nm0785802, nm0667546",tt0011735
La tartaruga,1918,Italy,nm0143975,April,1918,Italy,Medusa Film,"nm0211282, nm1524080, nm0538729, nm0664698",tt0965686
La principessa straniera,1914,Italy,nm1004886,May,1914,Italy,Celio Film,"nm0078116, nm0352120, nm0850499",tt0196014
Il mistero di una notte di primavera,1916,Italy,nm0624511,April,1916,Italy,Tiber-film,"nm0144302, nm0172822, nm0381428",tt0822001
Fiaccola sotto il moggio,1916,Italy,nm0734958,September,1916,Italy,Società Anonima Ambrosio,"nm0952610, nm0538729, nm0610618, nm0484334, nm0124744, nm1518450, nm0850499",tt0342414
Amore e automobilismo,1913,Italy,,January,1913,Spain,Società Italiana Cines,"nm0172822, nm0350524",tt1155513
Follia,1913,Italy,nm1193022,,1913,Italy,Savoia Film,"nm0414294, nm0537818, nm0743102",tt1041737
L'avvoltoio,1913,Italy,nm0624511,January,1913,Spain,Celio Film,"nm0078116, nm0315780, nm0172822, nm1268180, nm0302942",tt1398936
L'invidia,1919,Italy,nm0070374,January,1919,Italy,"Bertini Film, Caesar Film","nm0078116, nm0667546, nm0872195, nm1291774, nm0162244, nm0211158, nm0723161",tt0179883
L'ultimo atout,1913,Italy,nm0624511,,1913,Italy,Celio Film,"nm0078116, nm0172822, nm0315780",tt1065521
Grand Hôtel Paradis,1924,Italy,nm0673035,June,1924,Italy,Lombardo Film,"nm0350524, nm0448656, nm0718580",tt1045108
L'ultimo amplesso,1912,Italy,,,1912,Italy,Savoia Film,"nm1292464, nm0414294, nm0518359",tt1041872
La posta in guerra,1917,Italy,nm0173774,January,1917,Italy,Sezione Cinematografica del Regio Esercito,nm0381428,tt1063646
La rosa di Fortunio,1922,Italy,nm0233631,July,1922,Italy,Fert Film,"nm0051737, nm0082101, nm0144302, nm0414293, nm0448656, nm0663286",tt0969742
Quando eravamo muti,1935,Italy,nm0143975,,1935,Italy,Giani Film,"nm0070962, nm0078116, nm0094801, nm0096330, nm0135421, nm0144302, nm0211158, nm0303122, nm0350524, nm0414293, nm0414294, nm1288842",tt1065486
Rondine,1929,Italy,nm0673035,February,1929,Italy,Titanus,"nm1322776, nm0350524, nm0650750, nm1100228",tt1045197
La tutela,1913,Italy,nm0624511,,1913,Italy,Società Italiana Cines,"nm0161750, nm1004245, nm0350524",tt1045238
La taverna verde,1924,Italy,nm0233631,October,1924,Italy,Fert Film,"nm0082101, nm0172822, nm0195712, nm0688787, nm0757369, nm0762718, nm0785378",tt0928073
Die weißen Rosen von Ravensberg,1929,Germany,nm0576901,August,1929,Hungary,Omnia-Film GmbH,"nm0439188, nm0306673, nm0872465, nm0418079, nm0204483, nm0785802, nm0286924, nm0382357, nm0617050",tt0020571
La falsa strada,1913,Italy,nm1193022,March,1913,Italy,Savoia Film,"nm0414294, nm0518359, nm1291873, nm0537818, nm0743102",tt0965482
La signora Rebus,1918,Italy,nm0734958,September,1918,Italy,Rodolfifilm,"nm0109266, nm0658055, nm0658551, nm0734958",tt1080998
Lo spettro bianco a Saint Moritz,1914,Italy,nm0730611,May,1914,Italy,Milano Film,"nm0109266, nm0212191, nm0785802",tt1081004
La cuccagna,1917,Italy,nm0624511,March,1917,Italy,Tiber-film,"nm0137706, nm0144302, nm0172822, nm0195176, nm0381428, nm0526921, nm0630171, nm0723236",tt0451690
Il viaggio,1921,Italy,nm0726729,November,1921,Italy,Fert Film,"nm0070959, nm0144302, nm0414294, nm1526205",tt0216353
Quo Vadis?,1924,Italy,"nm1883879, nm0414985",,1924,Austria,Unione Cinematografica Italiana,"nm0417837, nm0762718, nm0209740, nm0356233, nm0352120, nm0887830, nm0090548, nm0899262, nm0296937, nm0144663, nm0109547, nm0448656, nm1146178, nm0953131",tt0015253
Una sventatella,1918,Italy,nm0952610,January,1918,Italy,Itala Film,"nm0035996, nm0579618, nm0603386, nm0744105",tt0963345
Il filo della vita,1917,Italy,nm0143333,September,1917,Italy,Tiber-film,"nm0144302, nm0352120, nm0414294",tt0193161
La Busta nera,1914,Italy,nm0321392,May,1914,Italy,Pasquali e C.,"nm0139215, nm0414294, nm2462013, nm0784988",tt1041699
Dora la espía,1943,"Spain, Italy",nm0558127,,,,"Scalera Film, Sociedad Anónima de Films Españoles (SAFE)","nm0294393, nm0727311, nm0078116, nm0867891, nm0616343, nm0033475, nm0075170, nm0162242, nm0268072, nm0554726",tt0035822
Nerone,1930,Italy,nm0087704,November,1930,Italy,Società Italiana Cines,"nm0670979, nm0471326, nm0215823, nm0109266, nm0563462, nm0553335, nm0087704, nm0109265, nm1855812, nm0176184",tt0021177
Gli onori della guerra,1917,Italy,nm0624511,January,1917,Italy,Etna Film,"nm0137706, nm0144302, nm0144313, nm0172822, nm1292135, nm0381428",tt1049154
Beatrice,1919,Italy,nm0107543,,,,,nm0078116,tt0284886
Fede,1914,Italy,nm0303120,December,1914,Italy,Società Italiana Cines,"nm0056080, nm1216023, nm0303122",tt1047616
Il veleno del piacere,1918,Italy,nm0726729,September,1918,Italy,Tiber-film,"nm0032106, nm0137706, nm0282186, nm0352120, nm0414293, nm0553335",tt0215313
Maman Colibri,1929,France,nm0245213,April,1930,Finland,Le Film d'Art,"nm0414294, nm0496473, nm0206312, nm0350798, nm0063994, nm0356589, nm7299545, nm0529227",tt0020134
Mese mariano,1929,Italy,nm1301712,June,1929,Italy,Caesar Film,"nm0117874, nm1298492, nm0209740, nm0546917, nm0656512, nm0757369",tt0185493
San Francesco il poverello d'Assisi,1911,Italy,nm0345500,December,1911,Spain,Società Italiana Cines,"nm0021935, nm0315780, nm0624446",tt0201058
Lucrezia Borgia,1919,Italy,nm0312866,,,,,nm0439188,tt0183434
Der Fall des Staatsanwalts M...,1928,Germany,"nm0576901, nm0030748",,1928,Italy,Phönix-Film AG,"nm0414294, nm0029671, nm0158103, nm0944290, nm0848486, nm0747570, nm0911914, nm0082101, nm0844227, nm0290951, nm1864378",tt0341019
L'accidia,1919,Italy,nm0207107,January,1919,Italy,Caesar Film,"nm0078116, nm0872195, nm0667546, nm0211158, nm0016688, nm0162244, nm0312909",tt0199297
Il gattopardo,1963,"Italy, France",nm0899581,March,1963,Italy,"Titanus, Société Nouvelle Pathé Cinéma, Société Générale de Cinématographie (S.G.C.)","nm0000044, nm0001012, nm0001128, nm0832375, nm0603761, nm0885123, nm0001352, nm0167509, nm0605832, nm0312575, nm0302837, nm0681583, nm0884422, nm0298184, nm0098683, nm0102679, nm0166706, nm0747990, nm0490404, nm0746279, nm0209740, nm0749434, nm0577811, nm0518166, nm0347904, nm0244602, nm0558308, nm0821422, nm0037613, nm0146845, nm0839568, nm0439330, nm0728967, nm0178389, nm0658646, nm0164314, nm0117751, nm0307995, nm0294136, nm0716577, nm0068372, nm0134932, nm0144589, nm0160520, nm0580992, nm0675848, nm0685457, nm0873351",tt0057091
La via più lunga,1918,Italy,nm0143333,February,1918,Italy,Tiber-film,"nm0137706, nm0138479, nm0195221, nm0352120, nm0414293, nm0414294",tt1041878
I pericoli dei travestimenti,1914,Italy,nm0889527,April,1914,Italy,Itala Film,"nm0021935, nm2523491, nm0591622, nm0673035, nm0702894, nm0889527, nm2488140",tt0943471
Il ponte del diavolo,1914,Italy,nm1156070,December,1914,Italy,Pasquali e C.,"nm0139215, nm0414294, nm0784988",tt1041823
Ernani,1911,France,nm0309163,December,1911,Spain,Film d'Arte Italiana,nm0078116,tt1012730
Panne d'auto,1912,Italy,nm0624511,,1912,Italy,Celio Film,"nm0078116, nm0172822, nm0315780",tt0409133
Beatrice Cenci,1911,Italy,nm0266080,May,1911,Colombia,,nm0414294,tt0214527
L'onesto mondo,1921,Italy,nm1902024,January,1921,Italy,Tiber-film,"nm1299557, nm2500842, nm0762718",tt0928057
Baby l'indiavolata,1916,Italy,nm0209738,December,1922,Portugal,,"nm0070959, nm0078116, nm0207107, nm0211158",tt0278957
La Gemma di Sant'Eremo,1918,Italy,nm0730611,January,1918,Italy,Itala Film,"nm0579618, nm0626131, nm0603386, nm0202688",tt0347051
Rasputins Liebesabenteuer,1928,"Germany, USA",nm0074284,November,1928,Finland,Martin Berger Film,"nm0539607, nm0439188, nm0436209, nm0615407, nm0514027, nm0449328, nm0002154, nm0711566, nm0383844, nm0598266, nm0902450, nm0094766, nm0775180, nm0120670, nm0872465, nm0002161, nm0681620, nm0016641, nm0017056, nm0036459, nm0092487, nm0212442, nm0226118, nm0777758, nm0815054, nm0872647, nm0938358",tt0019308
Giuseppe Verdi,1938,Italy,nm0303120,August,1938,Italy,"Grandi Film Storici, Italia Film","nm0315984, nm0605851, nm0660035, nm0683647, nm0059706, nm0414294, nm0147526, nm0546917, nm0244596, nm0244599, nm0323010, nm0655815, nm0538080, nm0848546, nm0223884, nm0784988, nm0147940, nm0681441, nm0011732, nm0012407, nm0013789, nm0055364, nm0054427, nm0066745, nm0080672, nm0105482, nm1504676, nm1507655, nm0134993, nm0139542, nm0148616, nm1504690, nm1291684, nm0179734, nm0187642, nm0188133, nm0197531, nm1504721, nm0254031, nm0274196, nm0300388, nm1299470, nm1504782, nm1370739, nm0317617, nm1504797, nm1508686, nm1436109, nm0487137, nm1508064, nm1504928, nm0538969, nm0539011, nm1506438, nm0545067, nm0545579, nm0553335, nm1506463, nm1508109, nm0584968, nm0591593, nm0606286, nm1508175, nm1505022, nm1505024, nm0682595, nm0685066, nm0689162, nm1381372, nm1382603, nm0684853, nm0738305, nm0738856, nm1505067, nm1324133, nm1508973, nm0033982, nm0841270, nm0865998, nm0869224, nm0889658, nm1509068, nm0899262, nm0951859, nm1505223",tt0026415
My Little Dog,1923,Italy,nm0657535,December,1923,Italy,Direttori Associati,"nm1909921, nm0414293, nm0667546",tt1041799
Il grido dell'innocenza,1914,Italy,nm0312866,,1914,Italy,Società Italiana Cines,"nm0321346, nm0579618, nm0632423, nm1295384",tt0963295
Il lettino vuoto,1913,Italy,nm0345500,August,1913,France,Società Italiana Cines,"nm0137706, nm0579618, nm1294250, nm0682204, nm0855870",tt0182283
La femme en homme,1932,France,nm0312866,March,1932,France,Films Sonores Tobis,"nm0094529, nm0076144, nm0239495, nm0741147, nm0076131, nm0255851, nm1195163, nm0898489",tt0199518
Carnevalesca,1918,Italy,nm0657535,January,1918,Italy,,"nm0096330, nm0590786, nm0667546, nm0899528",tt0161378
Tua per la vita,1917,Italy,nm0211634,February,1917,Italy,Gladiator Film,"nm0021935, nm0124744, nm0142822, nm0161733, nm0679170, nm0867930",tt0193580
Il potere sovrano,1916,Italy,"nm0621797, nm0624511",October,1916,Italy,Tiber-film,"nm0381428, nm0315780, nm0195176, nm0526921, nm0172822, nm0144302, nm0723236, nm0630171, nm0009828, nm0335908",tt0193428
La dea del mare,1907,Italy,,,,,,nm0078116,tt0000587
Maciste poliziotto,1918,Italy,nm0730743,March,1918,Italy,Itala Film,"nm0656034, nm0021935, nm0135303, nm1270659, nm0744105, nm0035996",tt0008237
Il Fauno di marmo,1920,Italy,nm0094801,March,1920,Italy,Celio Film,"nm0762718, nm1265542, nm0345223, nm0277765, nm1266871, nm0063379, nm1267258, nm0302942, nm0682204, nm1265164, nm0094801",tt0172427
Il pappagallo della zia Berta,1912,Italy,nm0315780,October,1912,Italy,Società Anonima Ambrosio,nm0078116,tt0192429
L'idole brisée,1920,France,nm0547155,December,1920,France,,"nm0061682, nm0146796, nm5891421, nm0504864, nm0547155",tt3133952
Tra i gorghi,1914,Italy,nm0303120,July,1914,Italy,Società Italiana Cines,"nm0224058, nm0303122",tt1047695
Passione di popolo,1921,Italy,nm0827981,,1921,Italy,Sterni Film,"nm0076131, nm0094529, nm2508473, nm0827981, nm0874482, nm2508691",tt0933127
Maciste medium,1918,Italy,nm1441208,April,1918,Italy,Itala Film,"nm0656034, nm0021935, nm0135303, nm1269902",tt0008236
Mesti ricordi,1914,Italy,,August,1914,Italy,Società Italiana Cines,"nm0137706, nm0350524, nm0526921",tt1045165
Come le foglie,1917,Italy,nm0726729,January,1917,Italy,Tiber-film,"nm0137706, nm0172822, nm0195176, nm1722531, nm0414294, nm0526921, nm0664698",tt0166141
Maciste contro Maciste,1923,Italy,,,,,,"nm0656034, nm0538729",tt0014233
Marie Antoinette - Das Leben einer Königin,1922,Germany,nm0576901,January,1923,Finland,"Internationale Film AG (IFA), Meinert Film","nm0439188, nm0718412, nm0561962, nm0366603, nm0777104, nm0389364, nm0254012, nm0251432, nm0510761, nm0121112, nm0435229, nm0775597, nm0774114, nm0885030, nm0313308, nm0345064, nm0681167, nm0226189, nm0070471, nm0530566, nm0459029, nm0821861, nm0643245, nm0264716, nm0511188, nm0366607, nm0867966, nm0059716, nm0681620, nm0910016, nm0913291, nm0045335, nm0626948, nm0016799, nm0902408, nm0771317, nm0056272, nm0286097, nm0019110, nm0513727, nm1816386, nm0750294, nm0871215",tt0189716
La signora Arlecchino,1918,Italy,nm0143333,January,1918,Italy,Tiber-film,"nm0137706, nm0143332, nm0144302, nm0172822, nm0414294, nm0553335, nm0899348",tt0193507
La corsa all'abisso,1914,Italy,nm1445368,June,1914,Italy,Milano Film,"nm0109266, nm0212191, nm0032106",tt1080914
Ihr letztes Liebesabenteuer,1927,Germany,nm0717126,,1928,Italy,Arthur Ziehm,"nm0297054, nm0773392, nm0094529, nm0246842, nm0499000, nm0212287, nm1817156, nm0636494, nm0781590, nm0220471",tt0455546
Chi è più felice di me!,1938,Italy,nm0109264,January,1938,Italy,Società Anonima Films Attualità (SAFA),"nm0771908, nm0095950, nm0414294, nm0188133, nm0177815, nm4437956, nm0738871, nm0053245, nm0231560, nm0139542, nm0546491, nm0244599, nm4437941, nm1847153, nm0813059, nm0553335, nm4437949",tt0029988
Metempsicosi,1913,Italy,nm0030748,August,1913,Italy,Società Italiana Cines,"nm0381428, nm0526921, nm1029576, nm1271564",tt0817936
Paris-Cinéma,1929,France,nm0155469,October,1929,France,,"nm4148905, nm0094529, nm0146709, nm0155469, nm0312866, nm9317004, nm0823088",tt1757832
Addio giovinezza!,1918,Italy,nm0312866,November,1919,Spain,Itala Film,"nm0082101, nm0135303, nm0414294, nm0448656, nm0538729",tt0167755
