film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
Madam Satan,1930,USA,nm0001124,September,1930,USA,Metro-Goldwyn-Mayer (MGM),"nm0425512, nm0219666, nm0744917, nm0950019, nm1026407, nm1131568, nm0697887, nm0410352, nm0531962, nm0111751, nm0780425, nm0467185, nm0426710, nm0805701, nm0533962, nm0551256, nm0176302, nm0039381, nm0209740, nm0410297, nm0860430, nm0710391, nm0528139, nm1303935, nm0035156, nm0071031, nm0126391, nm0137638, nm0186413, nm0204547, nm1220560, nm0214984, nm0001124, nm0218490, nm0245304, nm0290377, nm0311274, nm0317064, nm0330653, nm0355550, nm0363754, nm0426754, nm0460969, nm0485226, nm0485494, nm0524306, nm0524602, nm0563991, nm0565120, nm0621752, nm0622307, nm0639495, nm0728489, nm0744779, nm1134719, nm0805694, nm0815433, nm0830763, nm0832604, nm0842877, nm0873724, nm0885119, nm0889536, nm0899523, nm0931674",tt0021106
Lacrymae rerum,1916,Italy,nm0209738,June,1916,Italy,Caesar Film,"nm0070959, nm0078116, nm0207107, nm0209738",tt1065449
Smarrita!,1921,Italy,nm0030748,April,1921,Italy,Nova Film,"nm0078261, nm0131042, nm0439188, nm2712756, nm2552976, nm2447058",tt1065507
Behold My Wife!,1934,USA,nm0500552,December,1934,USA,"B.P. Schulberg Productions, Paramount Pictures","nm0796662, nm0713270, nm0187711, nm0912478, nm0174051, nm0654530, nm0792130, nm0335749, nm0861034, nm0415591, nm0089314, nm0585481, nm0209740, nm0026655, nm0068926, nm0122817, nm0242568, nm0285548, nm0286665, nm0307324, nm0318670, nm0358792, nm0389043, nm0398250, nm0006475, nm0460906, nm0466232, nm0496889, nm0500361, nm0540469, nm0570471, nm0593671, nm0605723, nm0607864, nm0611804, nm0612864, nm0641776, nm0696985, nm0718980, nm0727529, nm0732552, nm0768178, nm0782962, nm0806565, nm0822061, nm0828314, nm0179877, nm0853517, nm0861680, nm0877813, nm0908063, nm0922925, nm0925904, nm0933161, nm0926985",tt0026107
Pero tu amor me redime,1916,"Spain, Italy",nm0143333,,,,,"nm0094801, nm0143332, nm0350524, nm1300897, nm1301765, nm1302130, nm1302270",tt0007176
Il film rivelatore,1914,Italy,nm1156070,June,1914,Italy,Pasquali e C.,"nm0784988, nm0414294, nm0577534, nm0139215",tt1041732
La riva dei bruti,1931,"Italy, USA",nm0131460,July,1931,Italy,Paramount Pictures,"nm0094529, nm0683647, nm0518352, nm0759474, nm0021926, nm0223997, nm0957867, nm1299072, nm1299899",tt0022319
Un colpo di fulmine,1913,Italy,nm0624511,,1913,Italy,Società Italiana Cines,"nm1029576, nm0381428",tt1063603
"Il poeta, la donna",1916,Italy,,February,1916,Italy,Itala Film,"nm0021935, nm0603386, nm0626131",tt0965520
La statua di carne,1921,Italy,nm0021933,August,1921,Italy,Fert Film,"nm0021935, nm0082101, nm0144302, nm0172822, nm0448656, nm1252987",tt0197914
