imdb_id,name
nm0299833,Jaro Fürth
nm0894478,Gaetano Verna
nm0491701,Gino Lavagetto
nm1169455,Franco Solba
nm1763526,Kurt Holm
nm0641776,Pat O'Malley
nm0883574,Mario Valdemarin
nm0076836,Mara Berni
nm0499000,Robert Leffler
nm1426313,Adriana Vergani
nm2632304,William Lockwood
nm0637019,Amleto Novelli
nm4724453,Vevy Ferretti
nm0826210,Albert Steinrück
nm0503064,Ileana Leonidoff
nm0522281,Bessie Love
nm2458941,Carmen Varriale
nm1298937,Ida De Bonis
nm0169152,Cohen
nm0880210,Anneliese Uhlig
nm1465358,Adele Paternò
nm0289450,Arnoldo Foà
nm0208566,Americo De Giorgio
nm0848546,Carlo Tamberlani
nm0312575,Giuliano Gemma
nm2555934,Klara Ney
nm0028823,Robert Andrews
nm0754084,Ernst Rückert
nm1283341,Maria Ivogün
nm0726729,Gennaro Righelli
nm0902450,Camilla von Hollay
nm0061682,Henri Baudin
nm2427580,Teodor Roland
nm0485219,Abbe Lane
nm0754669,Valeria Sabel
nm0131145,Bianca Virginia Camagni
nm0597056,Massimo Mollica
nm0782564,Louis Seigner
nm1571990,Anna Huala
nm2671845,Wanda Hejmann
nm0264675,Fernand Fabre
nm0295545,Olivia Fried
nm0056080,Ruggero Barni
nm0959580,Rosa Elvira Álvarez
nm0271229,Mario Feliciani
nm0070471,Henry Bender
nm0653076,Nino Ottavi
nm0161758,Renato Cialente
nm0901357,André Volbert
nm0324501,Carl Goetz
nm0210321,Riccardo De Miceli
nm0922925,Cecil Weston
nm0042106,Tina Aumont
nm1504690,Guelfo Chiarini
nm0772578,Alfred Schmasow
nm1301289,Eugenio Musso
nm0746296,Ermanno Roveri
nm0597704,Sandra Mondaini
nm1504676,Antonio Cacchione
nm0000044,Burt Lancaster
nm0345064,Max Grünberg
nm0900209,Maria-Pia Vivaldi
nm0526031,Jenny Luna
nm0720751,Else Reval
nm0613576,Jean Murat
nm0867944,Juan Torena
nm0090548,Gildo Bocci
nm0172937,Ignazio Colnaghi
nm0307337,Olimpo Gargano
nm1717155,Luciano Rebeggiani
nm1402922,Pietro Meynet
nm0408490,Zoe Incrocci
nm0518166,Giancarlo Lolli
nm0546531,Vera Maretskaya
nm0604105,María Moreno
nm4437941,Luigi Pisu
nm0030433,Armando Annuale
nm9184656,R.H. McKin
nm0596576,Mario Molfesi
nm2519042,Victor Tarasco
nm0109266,Mercedes Brignone
nm0516254,Giuseppe Lo Presti
nm0816497,Marika Spada
nm1845494,Riccardo Legioni
nm0179762,Antonio Corevi
nm0671010,Angelo Pellegrino
nm0194934,Delia D'Alberti
nm0070858,Giovanni Di Benedetto
nm0216209,Lise Delamare
nm0218056,Paul Demange
nm0448656,Arnold Kent
nm0894333,Michèle Verly
nm0583972,Lia Miari
nm0586184,Alexandre Mihalesco
nm1824989,Adele Mosso
nm0335694,Walter Grant
nm0187510,José Crespo
nm1018510,Magda Mercatali
nm1875305,Lina Modigliani
nm0300767,Loris Gafforio
nm0687092,Alberto Plebani
nm2496237,Myosa De Coudray
nm2668805,Francesco Bonino
nm0749306,Sandro Ruffini
nm0080615,Giorgio Bianchi
nm0757369,Franz Sala
nm0091042,Eugeniusz Bodo
nm0510761,Olga Limburg
nm0142765,Matilde Casagrande
nm0484334,Linda Pini
nm0126391,Jack Byron
nm0956516,Max Zilzer
nm0212287,Henri De Vries
nm0605832,Lucilla Morlacchi
nm0620911,Ernesto Nannicini
nm0000367,Gérard Depardieu
nm3938327,Maurice De Bosardi
nm0591622,Felice Minotti
nm0162490,Gina Cinquini
nm0068926,Cosmo Kyrle Bellew
nm0819477,Carlo Sposito
nm0417837,Emil Jannings
nm1291837,Maurice De Grunewald
nm1354245,Allakariallak
nm0226189,William Dieterle
nm0179734,Bruno Corelli
nm0681365,Tina Pica
nm0310262,Georges Gauthier
nm0803132,Peters Sisters
nm0000661,Donald Sutherland
nm1291873,Azucena Della Porta
nm0596903,Magdalena Molino
nm0656512,Andreina Pagnani
nm0204483,Dolly Davis
nm0215744,Carla Del Poggio
nm0414294,Maria Jacobini
nm0266029,Maria Falconetti
nm0146796,Lina Cavalieri
nm1833079,Hans Karl Georg
nm0076144,Armand Bernard
nm0665134,Franco Pastorino
nm1989427,Enrico Marignetti
nm0319599,J.H. Gilmour
nm0023591,Alvaro Alvisi
nm0132137,Pippo Campanini
nm0012373,Lilia Dale
nm1272714,Elvira Pasquali
nm1274101,Ellen Reith
nm0581794,Antonio Meschini
nm7240595,Fabio Finucci
nm0006807,Michèle Morgan
nm0109264,Guido Brignone
nm2448388,Gustavo Salvini
nm0738871,Dina Romano
nm0264710,Fabienne Fabrèges
nm0053224,Paola Barbara
nm0890122,Giuseppe Varni
nm0734958,Eleuterio Rodolfi
nm2132925,Gianna Caverzaghi
nm0500361,Lillian Leighton
nm0415231,Abel Jacquin
nm0263808,Jeanne Evrard
nm0278500,Nada Fiorelli
nm1508686,Fernanda Gualdi
nm0330961,Marius Goring
nm1847068,Elda Maris
nm0439188,Diana Karenne
nm1302270,Francesco Sciarra
nm0836724,Ludwig Stössel
nm0034234,Anna Arena
nm0830052,Egon Stief
nm0322829,John Gliddon
nm0090371,Charles Bobett
nm0728343,Gualtiero Rispoli
nm0529695,Marcel Lévesque
nm0211159,Giulietta De Riso
nm0874482,Cecyl Tryan
nm0160615,Robert Christopher
nm0823017,Elli Star
nm0540469,Martin Malone
nm0082248,Enzo Biliotti
nm0893809,Freddie Verdi
nm0543270,Philipp Manning
nm2461871,Ines Ferrari
nm1300903,Pina Marini
nm0684518,Julius Pinschewer
nm0283456,Gertrude Flynn
nm0510227,Kurt Lilien
nm0187464,Daniele Crespi
nm0002161,Hans Albers
nm0889246,Vanna Vanni
nm1579703,Rosanna Braura
nm1060598,Karel Veselý
nm0679801,J.R. Phelps
nm4724432,Giulio Verdiani
nm1189302,Alfredo de Felice
nm0883994,María de Valencia
nm0260195,Maurice Escande
nm0242568,Frank Dunn
nm0670968,Margot Pellegrinetti
nm2677372,Simonetta Rivalta
nm0756814,Marin Sais
nm0873384,Lino Troisi
nm0771941,Tino Schirinzi
nm0311653,Gisa Geert
nm0628643,Nora Ney
nm1081811,Anna Mancini
nm0266945,Cesare Fantoni
nm9166417,Loretta Patch
nm2675931,Etta Cielo
nm0001537,Ray Milland
nm2680012,Flora Severati
nm0257406,Olga Engl
nm0494599,Georges Le Roy
nm0028337,Gabriella Andreini
nm0001316,Oliver Hardy
nm0230130,Loris Loddi
nm2501731,Rino Melis
nm0772300,Hans Adalbert Schlettow
nm0245304,Ann Dvorak
nm0556368,Rossana Masi
nm1409731,Luigi Allodoli
nm0663057,Sergio Parlato
nm0606102,Ugo Maria Morosi
nm0591047,Pierre Mindaist
nm1504785,Armando Garozzo
nm0539174,Nicola Maldacea
nm1032488,Enna Saredo
nm0313957,James W. Gerard
nm0395032,John Horne
nm0405904,Carola Höhn
nm1129431,Maria Romano
nm0494007,Walter Lazzaro
nm0356233,Lillian Hall-Davis
nm1291771,Rosetta D'Aprile
nm2498544,Carlo Ghisini
nm0116460,Cinzia Bruno
nm1091085,Franco Rondinella
nm1301196,Carlos Montes
nm0465802,Rutger Kopland
