film_title,imdb_id,film_year,production_country,director,release_month,release_year,release_location,production_locality,production_company,cast
L'eredità di Caino,tt0171275,1921,Italy,nm0900017,January,1921,Italy,Rome,Società Italiana Cines,"nm0076464, nm0135635, nm0224303, nm2500724, nm0277765, nm1216547, nm0537818, nm0682204, nm0762718, nm0855870, nm1146438, nm1218250"
La musa del pianto e quella del sorriso,tt0965516,1917,Italy,nm0544490,October,1917,Italy,Turin,Comedia Film,"nm0021935, nm2557586, nm2565382, nm2559151, nm2560978, nm2450029"
Il mistero della porta chiusa,tt1041795,1915,Italy,nm1004886,November,1915,Italy,Rome,Celio Film,"nm0414294, nm0598712"
Resurrezione,tt0193463,1917,Italy,nm0143333,February,1918,Spain,Rome,Tiber-film,"nm0093710, nm0224058, nm0352120, nm0414294, nm0819010"
Il medico dei bambini,tt0929451,1920,Italy,nm0142822,March,1920,Italy,Turin,Circe Film,"nm1522679, nm0142821, nm0142823, nm0762718"
Passion tzigane,tt0345775,1918,France,nm1156070,,,,,,"nm0021935, nm0139215, nm0162322, nm0439188"
Il fantasma dei laghi,tt0928037,1921,Italy,nm2493690,February,1921,Italy,Turin,Itala Film,"nm2493690, nm2499326, nm0762718, nm0869145"
Il mistero di una notte di primavera,tt0822001,1916,Italy,nm0624511,April,1916,Italy,Rome,Tiber-film,"nm0144302, nm0172822, nm0381428"
La fibra del dolore,tt1063613,1919,Italy,nm0624511,February,1919,Italy,Rome,Tiber-film,"nm0138479, nm1722531, nm0381428, nm0629279"
La canzone dell'amore,tt0020738,1930,Italy,nm0726729,October,1930,Italy,Rome,Società Italiana Cines,"nm0237868, nm0688762, nm0825923, nm0109266, nm0683647, nm0135635, nm1995395, nm0022833, nm1995920, nm0208566, nm0539011, nm1508109, nm0755351, nm1258382, nm0757369, nm1151285, nm0896424"
Malombra,tt0008252,1917,Italy,nm0303120,January,1917,Italy,Rome,Società Italiana Cines,"nm0096330, nm0637019, nm0557831, nm0161750, nm1216023, nm1302492, nm0144313, nm1268180, nm0277765, nm1269629"
L'ombra della colpa,tt0965663,1921,Italy,nm1302092,July,1921,Italy,Rome,Rinascimento Film,"nm1902416, nm0538729"
Amleto e il suo clown,tt0247166,1920,Italy,nm0303120,January,1920,Italy,Rome,D'Ambra Film,"nm0303122, nm1302310, nm1291837, nm0302942, nm1299620, nm0596837, nm1301680, nm1295663"
Tramonto triste,tt0965691,1916,Italy,nm0684659,September,1916,Italy,Turin,Società Anonima Ambrosio,"nm0032106, nm0082101, nm0138479, nm0538729"
Nelly la gigolette,tt0188099,1915,Italy,nm0315780,January,1915,Italy,,,"nm0070959, nm0070962, nm0078116, nm0172822, nm0315780"
L'amazzone mascherata,tt0244967,1914,Italy,nm0624511,February,1914,Italy,Rome,Celio Film,"nm0078116, nm0172822, nm0315780, nm0350524, nm1132786"
Marcella,tt1063629,1915,Italy,nm0624511,December,1915,Italy,Rome,Tiber-film,"nm0137706, nm0172822, nm0212191, nm0381428, nm0597903"
La contessa Arsenia,tt1065405,1916,Italy,nm0664700,May,1916,Italy,Turin,Pasquali e C.,"nm0133735, nm0139215, nm0162321, nm0439188, nm0750877, nm0850499"
I volti dell'amore,tt0216389,1924,Italy,nm0303120,April,1924,Italy,Rome,Films Gallone,"nm0076131, nm0162490, nm0274034, nm0303122, nm0406390, nm1293512, nm0553335, nm1301556, nm0682595, nm1302127"
Come le foglie,tt0166141,1917,Italy,nm0726729,January,1917,Italy,Rome,Tiber-film,"nm0137706, nm0172822, nm0195176, nm1722531, nm0414294, nm0526921, nm0664698"
Maciste imperatore,tt0015103,1924,Italy,nm0109264,November,1924,Italy,"Rome, Turin",Fert Film,"nm0656034, nm0762718, nm8542885, nm0303742, nm0757369, nm1148942, nm0051737, nm1324086, nm0952610, nm0591622, nm0693529, nm1100228"
La studentessa,tt1065510,1920,Italy,nm2522802,August,1920,Italy,Rome,Tespi Film,"nm0131042, nm0439188"
Santarellina,tt1045202,1923,Italy,nm0673035,April,1923,Italy,Naples,Lombardo Film,"nm1909921, nm0350524, nm0650750, nm0718580, nm1100228"
La piccola parrocchia,tt0215057,1923,Italy,nm0021933,March,1923,Italy,Turin,Alba Film,"nm0021935, nm0637019, nm0172822, nm0487727, nm0082101, nm0603386, nm0682544, nm0312553, nm0315586, nm0583972, nm0490726"
Napoli è una canzone,tt0396144,1927,Italy,nm0673035,March,1927,Italy,Naples,Lombardo Film,"nm0350524, nm0274034, nm1707962, nm0718580, nm0780978, nm1100228, nm1709102"
Rugiada di sangue,tt1063650,1915,Italy,nm0624511,November,1915,Italy,Rome,Tiber-film,"nm0137706, nm0144302, nm0172822, nm0381428"
Mein Leben für das Deine,tt0189843,1928,Germany,nm0525414,August,1928,Finland,,F.P.S.-Film GmbH,"nm0078116, nm0911914, nm0890993, nm0145318, nm0466776, nm0274034, nm0314028"
Fünf bange Tage,tt0018922,1928,Germany,nm0726729,October,1929,Finland,,Lothar Stark-Film,"nm0414294, nm0688480, nm0514027, nm0300388, nm0016641, nm0362501, nm0274034"
Rasputins Liebesabenteuer,tt0019308,1928,"Germany, USA",nm0074284,November,1928,Finland,,Martin Berger Film,"nm0539607, nm0439188, nm0436209, nm0615407, nm0514027, nm0449328, nm0002154, nm0711566, nm0383844, nm0598266, nm0902450, nm0094766, nm0775180, nm0120670, nm0872465, nm0002161, nm0681620, nm0016641, nm0017056, nm0036459, nm0092487, nm0212442, nm0226118, nm0777758, nm0815054, nm0872647, nm0938358"
La fine di un vile,tt0191332,1918,Italy,nm0312866,December,1918,Italy,Turin,Itala Film,"nm0414294, nm0144302, nm0744105, nm0448656, nm1297946, nm0082101, nm0187642"
